,title,rank,date,artist,region,chart,streams
0,Chantaje (feat. Maluma),1,2017-01-01,Shakira,Argentina,top200,253019
1,Vente Pa' Ca (feat. Maluma),2,2017-01-01,Ricky Martin,Argentina,top200,223988
2,Reggaetón Lento (Bailemos),3,2017-01-01,CNCO,Argentina,top200,210943
3,Safari,4,2017-01-01,"J Balvin, Pharrell Williams, BIA, Sky",Argentina,top200,173865
4,Shaky Shaky,5,2017-01-01,Daddy Yankee,Argentina,top200,153956
5,Traicionera,6,2017-01-01,Sebastian Yatra,Argentina,top200,151140
6,Cuando Se Pone a Bailar,7,2017-01-01,Rombai,Argentina,top200,148369
7,Otra vez (feat. J Balvin),8,2017-01-01,Zion & Lennox,Argentina,top200,143004
8,La Bicicleta,9,2017-01-01,"Carlos Vives, Shakira",Argentina,top200,126389
9,Dile Que Tu Me Quieres,10,2017-01-01,Ozuna,Argentina,top200,112012
10,Andas En Mi Cabeza,11,2017-01-01,"Chino & Nacho, Daddy Yankee",Argentina,top200,110395
11,Desde Esa Noche (feat. Maluma),12,2017-01-01,Thalia,Argentina,top200,104592
12,Borro Cassette,13,2017-01-01,Maluma,Argentina,top200,101535
13,Gyal You A Party Animal - Remix,14,2017-01-01,"Charly Black, Daddy Yankee",Argentina,top200,99722
14,Me llamas (feat. Maluma) - Remix,15,2017-01-01,Piso 21,Argentina,top200,95010
15,La Bicicleta (feat. Maluma) - Remix,16,2017-01-01,"Carlos Vives, Shakira",Argentina,top200,92723
16,DUELE EL CORAZON (feat. Wisin),17,2017-01-01,Enrique Iglesias,Argentina,top200,91325
17,Let Me Love You,18,2017-01-01,"DJ Snake, Justin Bieber",Argentina,top200,87926
18,La Noche No Es para Dormir,19,2017-01-01,Mano Arriba,Argentina,top200,87033
19,Vacaciones,20,2017-01-01,Wisin,Argentina,top200,86103
20,Rockabye (feat. Sean Paul & Anne-Marie),21,2017-01-01,Clean Bandit,Argentina,top200,76123
21,Carnavalintro,22,2017-01-01,Chano,Argentina,top200,71963
22,"Ay Mi Dios (feat. Pitbull, Yandel & Chacal)",23,2017-01-01,"IAmChino, El Chacal",Argentina,top200,71892
23,One Dance,24,2017-01-01,"Drake, WizKid, Kyla",Argentina,top200,71498
24,My Way,25,2017-01-01,Calvin Harris,Argentina,top200,70795
25,Cold Water (feat. Justin Bieber & MØ),26,2017-01-01,Major Lazer,Argentina,top200,70260
26,La Gozadera (feat. Marc Anthony),27,2017-01-01,Gente De Zona,Argentina,top200,70028
27,Llamame Mas Temprano,28,2017-01-01,Mano Arriba,Argentina,top200,69382
28,Starboy,29,2017-01-01,"The Weeknd, Daft Punk",Argentina,top200,65518
29,Manicomio,30,2017-01-01,Cosculluela,Argentina,top200,64998
30,"Cuatro Babys (feat. Trap Capos, Noriel, Bryant Myers & Juhn)",31,2017-01-01,Maluma,Argentina,top200,64907
31,Don't Wanna Know,32,2017-01-01,"Maroon 5, Kendrick Lamar",Argentina,top200,61714
32,Sin Contrato (feat. Don Omar & Wisin) - Remix,33,2017-01-01,Maluma,Argentina,top200,59903
33,24K Magic,34,2017-01-01,Bruno Mars,Argentina,top200,58801
34,"CAN'T STOP THE FEELING! (Original Song from DreamWorks Animation's ""TROLLS"")",35,2017-01-01,Justin Timberlake,Argentina,top200,56170
35,Fuego,36,2017-01-01,Juanes,Argentina,top200,55902
36,Bobo,37,2017-01-01,J Balvin,Argentina,top200,55360
37,In the Name of Love,38,2017-01-01,"Martin Garrix, Bebe Rexha",Argentina,top200,54980
38,Tu Ritmo,39,2017-01-01,Los Bonnitos,Argentina,top200,54081
39,I Took A Pill In Ibiza - Seeb Remix,40,2017-01-01,Mike Posner,Argentina,top200,53270
40,Ya Me Enteré (feat. Nicky Jam) - Urban Version,41,2017-01-01,Reik,Argentina,top200,52907
41,No Quiere Enamorarse (Remix) [feat. Daddy Yankee],42,2017-01-01,Ozuna,Argentina,top200,52670
42,Te Quiero Pa´Mi,43,2017-01-01,"Don Omar, Zion & Lennox",Argentina,top200,51352
43,Sin Contrato (feat. Fifth Harmony),44,2017-01-01,Maluma,Argentina,top200,51115
44,Picky,45,2017-01-01,Joey Montana,Argentina,top200,51113
45,Work,46,2017-01-01,"Rihanna, Drake",Argentina,top200,50655
46,Noche Loca,47,2017-01-01,"Marama, Rombai",Argentina,top200,49100
47,Don't Let Me Down (feat. Daya),48,2017-01-01,The Chainsmokers,Argentina,top200,48767
48,Hasta el Amanecer,49,2017-01-01,Nicky Jam,Argentina,top200,47672
49,Le Hace Falta un Beso,50,2017-01-01,Agapornis,Argentina,top200,45251
50,Cake By The Ocean,51,2017-01-01,DNCE,Argentina,top200,44524
51,Chillax (feat. Ky-Mani Marley),52,2017-01-01,Farruko,Argentina,top200,44495
52,Loquita,53,2017-01-01,Marama,Argentina,top200,43894
53,Te Vas,54,2017-01-01,Ozuna,Argentina,top200,43704
54,Closer,55,2017-01-01,"The Chainsmokers, Halsey",Argentina,top200,43403
55,Locuras contigo,56,2017-01-01,Rombai,Argentina,top200,43260
56,Treat You Better,57,2017-01-01,Shawn Mendes,Argentina,top200,42815
57,Era Tranquila,58,2017-01-01,Marama,Argentina,top200,42785
58,Baila,59,2017-01-01,Agapornis,Argentina,top200,42127
59,Nena,60,2017-01-01,Marama,Argentina,top200,41737
60,Deja De Llorar,61,2017-01-01,El Polaco,Argentina,top200,40065
61,El Perdedor,62,2017-01-01,Maluma,Argentina,top200,39691
62,Traicionera - Remix,63,2017-01-01,"Sebastian Yatra, Cosculluela, Cali Y El Dandee",Argentina,top200,37518
63,Yo te propongo,64,2017-01-01,Rombai,Argentina,top200,36808
64,El Perdedor (feat. Yandel) - The Remix,65,2017-01-01,Maluma,Argentina,top200,36510
65,Lo Intentamos,66,2017-01-01,Marama,Argentina,top200,35965
66,Hasta la luna,67,2017-01-01,#TocoParaVos,Argentina,top200,35806
67,Comerte a Besos,68,2017-01-01,"Pijama Party, Cande Buasso",Argentina,top200,34879
68,La Mordidita (feat. Yotuel),69,2017-01-01,Ricky Martin,Argentina,top200,34638
69,Ginza,70,2017-01-01,J Balvin,Argentina,top200,34542
70,Call On Me - Ryan Riback Extended Remix,71,2017-01-01,Starley,Argentina,top200,33892
71,El Perdón,72,2017-01-01,"Nicky Jam, Enrique Iglesias",Argentina,top200,33188
72,Pasarla Bien,73,2017-01-01,Marama,Argentina,top200,33111
73,No Llores,74,2017-01-01,LOAN,Argentina,top200,32778
74,Would I Lie to You - Radio Edit,75,2017-01-01,"David Guetta, Cedric Gervais, Chris Willis",Argentina,top200,32198
75,I Feel It Coming,76,2017-01-01,"The Weeknd, Daft Punk",Argentina,top200,30754
76,Baila Conmigo,77,2017-01-01,"Juan Magán, Luciana",Argentina,top200,30623
77,Una Cerveza,78,2017-01-01,Rafaga,Argentina,top200,30368
78,Me Ama Me Odia,79,2017-01-01,"Ozuna, Cosculluela, Revol",Argentina,top200,29979
79,Just Hold On,80,2017-01-01,"Steve Aoki, Louis Tomlinson",Argentina,top200,29609
80,Side To Side,81,2017-01-01,"Ariana Grande, Nicki Minaj",Argentina,top200,29228
81,Bailame Despacio,82,2017-01-01,"Xantos, Dynell",Argentina,top200,28781
82,Todo Comenzó Bailando,83,2017-01-01,Marama,Argentina,top200,28728
83,Cheap Thrills Remix (feat. Nicky Jam),84,2017-01-01,Sia,Argentina,top200,28288
84,Se Pone Loca,85,2017-01-01,"CantoParaBailar, Lucas Sugo",Argentina,top200,27694
85,Cheap Thrills,86,2017-01-01,Sia,Argentina,top200,26885
86,Work from Home (feat. Ty Dolla $ign),87,2017-01-01,Fifth Harmony,Argentina,top200,26840
87,We Don't Talk Anymore (feat. Selena Gomez),88,2017-01-01,Charlie Puth,Argentina,top200,26777
88,"Diles (feat. Arcangel, Nengo Flow, Dj Luian & Mambo Kings)",89,2017-01-01,"Ozuna, Bad Bunny, Farruko, Ñengo Flow",Argentina,top200,25622
89,Pájaro Cantor,90,2017-01-01,Abel Pintos,Argentina,top200,25525
90,Hasta Que Se Seque el Malecón (feat. Farruko) - Remix,91,2017-01-01,Jacob Forever,Argentina,top200,24999
91,Amor y dolor,92,2017-01-01,"Carlos Baute, Alexis y Fido",Argentina,top200,24874
92,Si Te Vas,93,2017-01-01,Agapornis,Argentina,top200,24819
93,Papi Shampu,94,2017-01-01,Papichamp,Argentina,top200,24369
94,Ruleta Rusa,95,2017-01-01,Kevin Roldan,Argentina,top200,24358
95,Dale Tu Amor (feat. El Polaco),96,2017-01-01,Agapornis,Argentina,top200,24345
96,Me Reclama,97,2017-01-01,"Mambo Kingz, DJ Luian, Luigi 21 Plus, Ozuna",Argentina,top200,24260
97,Márchate ahora,98,2017-01-01,Los Totora,Argentina,top200,24133
98,Bronceado,99,2017-01-01,Marama,Argentina,top200,24077
99,Te Vas - Version Cumbia,100,2017-01-01,"aLee DJ, Zeta Music",Argentina,top200,23981
